Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;KEPULAUAN BANGKA BELITUNG;BANDENG;2020;6.21;208,236
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2010;13;234
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2011;13.8;234,6
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2012;4.6;78,2
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2013;36.8;920
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2014;21.15;528,75
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2015;2.5;37,5
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2016;6;125
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2019;8.72;305,235
BUDIDAYA;KEPULAUAN RIAU;BANDENG;2020;4.17;133,353
BUDIDAYA;LAMPUNG;BANDENG;2010;6496.19;97212050
BUDIDAYA;LAMPUNG;BANDENG;2011;5021.57;50215700
BUDIDAYA;LAMPUNG;BANDENG;2012;5795.34;71964409
BUDIDAYA;LAMPUNG;BANDENG;2013;6735.88;85100879
BUDIDAYA;LAMPUNG;BANDENG;2014;5929.5;100930277
BUDIDAYA;LAMPUNG;BANDENG;2015;7413.73;145327190
BUDIDAYA;LAMPUNG;BANDENG;2016;5596.87;87133050
BUDIDAYA;LAMPUNG;BANDENG;2017;2368.22;40238460
BUDIDAYA;LAMPUNG;BANDENG;2018;12783.52;195384764
BUDIDAYA;LAMPUNG;BANDENG;2019;9741.97;120760283
BUDIDAYA;LAMPUNG;BANDENG;2020;6376.82;190764975
BUDIDAYA;MALUKU;BANDENG;2010;3.4;16
BUDIDAYA;MALUKU;BANDENG;2011;2.8;84
BUDIDAYA;MALUKU;BANDENG;2012;5;75
BUDIDAYA;MALUKU;BANDENG;2013;8.01;192,5
BUDIDAYA;MALUKU;BANDENG;2014;8;200
BUDIDAYA;MALUKU;BANDENG;2015;4.58;149,8
BUDIDAYA;MALUKU;BANDENG;2016;5.05;166,2
BUDIDAYA;MALUKU;BANDENG;2017;5.35;90,953
BUDIDAYA;MALUKU;BANDENG;2018;1.33;43,6
