Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2011;702;11934000
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2012;3875.14;110441490
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2013;2324.65;43457405
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2014;3399.62;74303090
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2015;3472.33;80192680
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2016;2602.48;53404870
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2017;12468.42;216576386
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2018;6469.76;125631755
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2019;5842.48;129039947
BUDIDAYA;NUSA TENGGARA BARAT;LELE;2020;4163.24;109634806
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2010;36.2;1105550
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2011;35.4;1008900
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2012;240.6;6857100
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2013;339.13;9476830
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2014;508.16;8487237
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2015;630.93;13218378
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2016;667;15146000
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2017;1127.47;19584119
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2018;2447.13;96892468
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2019;320.43;12653725
BUDIDAYA;NUSA TENGGARA TIMUR;LELE;2020;889.51;23276797
BUDIDAYA;PAPUA;LELE;2010;75.2;1828500
BUDIDAYA;PAPUA;LELE;2011;100.6;3012500
BUDIDAYA;PAPUA;LELE;2012;215.1;3226500
BUDIDAYA;PAPUA;LELE;2013;536.9;27979200
BUDIDAYA;PAPUA;LELE;2014;798.7;26913500
BUDIDAYA;PAPUA;LELE;2015;857.3;30005500
BUDIDAYA;PAPUA;LELE;2016;545.36;19087600
BUDIDAYA;PAPUA;LELE;2017;3305.38;87724838
BUDIDAYA;PAPUA;LELE;2018;1745.38;56277672
BUDIDAYA;PAPUA;LELE;2019;2505.57;115045806
BUDIDAYA;PAPUA;LELE;2020;961.28;40287509
BUDIDAYA;PAPUA BARAT;LELE;2010;85.2;1943000
BUDIDAYA;PAPUA BARAT;LELE;2011;402;10050000
BUDIDAYA;PAPUA BARAT;LELE;2012;307;4605000
BUDIDAYA;PAPUA BARAT;LELE;2013;166;4150000
BUDIDAYA;PAPUA BARAT;LELE;2014;339.5;8487500
BUDIDAYA;PAPUA BARAT;LELE;2015;281.44;9815400
BUDIDAYA;PAPUA BARAT;LELE;2016;405.89;14206150
BUDIDAYA;PAPUA BARAT;LELE;2017;902.42;39215737
BUDIDAYA;PAPUA BARAT;LELE;2018;751.12;31835155
BUDIDAYA;PAPUA BARAT;LELE;2019;511.09;22217350
BUDIDAYA;PAPUA BARAT;LELE;2020;471.05;19712921
BUDIDAYA;RIAU;LELE;2010;3295.08;49354200
BUDIDAYA;RIAU;LELE;2011;4837.28;60466000
BUDIDAYA;RIAU;LELE;2012;8848.63;159275340
BUDIDAYA;RIAU;LELE;2013;9979.42;249485500
BUDIDAYA;RIAU;LELE;2014;15957.35;264572950
BUDIDAYA;RIAU;LELE;2015;15518.15;232751340
BUDIDAYA;RIAU;LELE;2016;16488.11;328437570
BUDIDAYA;RIAU;LELE;2017;44361.48;770558890
BUDIDAYA;RIAU;LELE;2018;19798.07;323985813
BUDIDAYA;RIAU;LELE;2019;24776.59;404252048
BUDIDAYA;RIAU;LELE;2020;21934.81;458674090
BUDIDAYA;SULAWESI BARAT;LELE;2010;79.43;909
BUDIDAYA;SULAWESI BARAT;LELE;2011;57.75;819,95
BUDIDAYA;SULAWESI BARAT;LELE;2012;104.72;2618000
BUDIDAYA;SULAWESI BARAT;LELE;2013;181.05;2777400
BUDIDAYA;SULAWESI BARAT;LELE;2014;300.64;5747200
BUDIDAYA;SULAWESI BARAT;LELE;2015;363.87;7104223
BUDIDAYA;SULAWESI BARAT;LELE;2016;956.98;19135000
BUDIDAYA;SULAWESI BARAT;LELE;2018;458.06;11767598
BUDIDAYA;SULAWESI BARAT;LELE;2019;2797.12;69836514
BUDIDAYA;SULAWESI BARAT;LELE;2020;905.22;21532821
BUDIDAYA;SULAWESI SELATAN;LELE;2010;842.4;12385650
BUDIDAYA;SULAWESI SELATAN;LELE;2011;955;14325000
BUDIDAYA;SULAWESI SELATAN;LELE;2012;1198.1;17971500
BUDIDAYA;SULAWESI SELATAN;LELE;2013;1776.4;30198800
BUDIDAYA;SULAWESI SELATAN;LELE;2014;1922.9;32689130
BUDIDAYA;SULAWESI SELATAN;LELE;2015;2172.1;46937000
BUDIDAYA;SULAWESI SELATAN;LELE;2016;2365.6;51124200
BUDIDAYA;SULAWESI SELATAN;LELE;2017;2408.78;41840526
BUDIDAYA;SULAWESI SELATAN;LELE;2018;2515.98;41110531
BUDIDAYA;SULAWESI SELATAN;LELE;2019;2807.56;45556800
BUDIDAYA;SULAWESI SELATAN;LELE;2020;3109.82;80472438
BUDIDAYA;SULAWESI TENGAH;LELE;2010;35;460,016
BUDIDAYA;SULAWESI TENGAH;LELE;2011;217.9;3268500
BUDIDAYA;SULAWESI TENGAH;LELE;2012;688.56;10328400
BUDIDAYA;SULAWESI TENGAH;LELE;2013;551;10244949
BUDIDAYA;SULAWESI TENGAH;LELE;2014;420;8400000
BUDIDAYA;SULAWESI TENGAH;LELE;2015;584.91;12048640
BUDIDAYA;SULAWESI TENGAH;LELE;2016;634.74;14492306
BUDIDAYA;SULAWESI TENGAH;LELE;2017;1660.46;28842138
BUDIDAYA;SULAWESI TENGAH;LELE;2018;449.66;5785173
BUDIDAYA;SULAWESI TENGAH;LELE;2019;317.94;6511340
BUDIDAYA;SULAWESI TENGAH;LELE;2020;835.86;21780425
BUDIDAYA;SULAWESI TENGGARA;LELE;2010;914.37;7166992
BUDIDAYA;SULAWESI TENGGARA;LELE;2011;1242.41;18636150
BUDIDAYA;SULAWESI TENGGARA;LELE;2012;1342.35;20135250
BUDIDAYA;SULAWESI TENGGARA;LELE;2013;1381.35;24438590
BUDIDAYA;SULAWESI TENGGARA;LELE;2014;1202.28;24045600
BUDIDAYA;SULAWESI TENGGARA;LELE;2015;565.7;11314000
BUDIDAYA;SULAWESI TENGGARA;LELE;2016;796.54;15930800
BUDIDAYA;SULAWESI TENGGARA;LELE;2017;152.63;2651200
BUDIDAYA;SULAWESI TENGGARA;LELE;2018;2793.68;62890406
BUDIDAYA;SULAWESI TENGGARA;LELE;2019;860.78;22124479
BUDIDAYA;SULAWESI TENGGARA;LELE;2020;933.58;22358032
BUDIDAYA;SULAWESI UTARA;LELE;2010;11.07;276,75
BUDIDAYA;SULAWESI UTARA;LELE;2011;23;460
BUDIDAYA;SULAWESI UTARA;LELE;2012;24.9;373,5
BUDIDAYA;SULAWESI UTARA;LELE;2013;646.67;12776500
BUDIDAYA;SULAWESI UTARA;LELE;2014;82.58;1692800
BUDIDAYA;SULAWESI UTARA;LELE;2015;142.21;3225400
BUDIDAYA;SULAWESI UTARA;LELE;2016;162.23;3589680
BUDIDAYA;SULAWESI UTARA;LELE;2017;6.86;119,158
BUDIDAYA;SULAWESI UTARA;LELE;2018;714.72;16099133
BUDIDAYA;SULAWESI UTARA;LELE;2019;125.47;4513340
BUDIDAYA;SULAWESI UTARA;LELE;2020;208.64;5101132
BUDIDAYA;SUMATERA BARAT;LELE;2010;7087.34;114360760
BUDIDAYA;SUMATERA BARAT;LELE;2011;14454.36;204989397
BUDIDAYA;SUMATERA BARAT;LELE;2012;18887.4;207761400
BUDIDAYA;SUMATERA BARAT;LELE;2013;26257.65;362889993
BUDIDAYA;SUMATERA BARAT;LELE;2014;30609.01;478470305
BUDIDAYA;SUMATERA BARAT;LELE;2015;35576.44;565895665
